"MODIFIED_ZCTA","NEIGHBORHOOD_NAME","BOROUGH_GROUP","COVID_CASE_RATE"
"11225","Crown Heights (West)/Prospect Lefferts Gardens","Brooklyn",2100.1
"11226","Flatbush/Prospect Lefferts Gardens","Brooklyn",2424.255
"11228","Bath Beach/Dyker Heights","Brooklyn",1620.485
"11229","Gerritsen Beach/Homecrest/Sheepshead Bay","Brooklyn",2195.29
"11230","Midwood","Brooklyn",2776.29
"11231","Carroll Gardens/Cobble Hill/Red Hook","Brooklyn",1213.69
"11232","Sunset Park","Brooklyn",2055.105
"11233","Bedford-Stuyvesant (East)/Ocean Hill-Brownsville","Brooklyn",1857.36
"11234","Bergen Beach/Flatlands/Marine Park/Mill Basin","Brooklyn",2461.05
"11235","Brighton Beach/Manhattan Beach/Sheepshead Bay","Brooklyn",2720.01
"11236","Canarsie","Brooklyn",2935.04
"11237","Bushwick/East Williamsburg","Brooklyn",2056.385
"11238","Clinton Hill/Prospect Heights","Brooklyn",1541.22
"11239","East New York","Brooklyn",4382.375
"11354","Flushing/Murray Hill","Queens",2324.455
"11355","Flushing/Murray Hill/Queensboro Hill","Queens",1775.315
"11356","College Point","Queens",2555.445
"11357","Whitestone","Queens",2160.07
"11358","Auburndale/Murray Hill","Queens",1688.17
"11360","Bayside (North)","Queens",1738.835
"11361","Bayside (North)/Bayside (South)","Queens",1689.19
"11362","Douglaston-Little Neck","Queens",1868.87
"11363","Douglaston-Little Neck","Queens",1452.71
"11364","Bayside (South)/Oakland Gardens","Queens",1407.595
"11365","Auburndale/Fresh Meadows/Pomonok/Utopia","Queens",2011.315
"11366","Fresh Meadows/Hillcrest","Queens",2928.71
"11367","Kew Gardens Hills/Pomonok","Queens",2595.195
"11368","Corona/North Corona","Queens",4278.9
"11369","Airport/East Elmhurst","Queens",4545.8
"11370","Jackson Heights/Rikers Island","Queens",4205
"11372","Jackson Heights","Queens",4230.145
"11373","Elmhurst","Queens",3611.81
"11374","Rego Park","Queens",2679.105
"11375","Forest Hills","Queens",2200.475
"11377","Woodside","Queens",2709.08
"11378","Maspeth","Queens",2233.08
"11379","Middle Village","Queens",2330.395
"11385","Glendale/Ridgewood","Queens",2217.04
"11411","Cambria Heights","Queens",3425.345
"11412","St. Albans","Queens",3241.68
"11413","Laurelton/Rosedale","Queens",3108.965
"11414","Hamilton Beach/Howard Beach/Lindenwood","Queens",2952.355
"11415","Kew Gardens","Queens",2864.685
"11416","Ozone Park","Queens",2802.99
"11417","Ozone Park","Queens",2929.265
"11418","Richmond Hill","Queens",2989.095
"11419","Richmond Hill/South Ozone Park","Queens",2450.405
"11420","South Ozone Park","Queens",2932.93
"11421","Woodhaven","Queens",2949.57
"11422","Rosedale","Queens",3027.73
"11423","Hollis/Holliswood","Queens",3483.025
"11426","Bellerose","Queens",2526.605
"11427","Bellerose/Hollis Hills/Holliswood","Queens",3480.9
"11428","Queens Village","Queens",3572.64
"11429","Queens Village","Queens",3488.335
"11432","Hillcrest/Jamaica Estates/Jamaica Hills","Queens",2996.26
"11433","Jamaica","Queens",2741.72
"11434","Airport/South Jamaica/Springfield Gardens/St. Albans","Queens",3190.885
"11435","Briarwood/Jamaica","Queens",2931.65
"11436","South Jamaica/South Ozone Park","Queens",2633.675
"11691","Edgemere/Far Rockaway","Queens",3837.305
"11692","Arverne/Edgemere","Queens",3208.21
"11693","Arverne/Broad Channel","Queens",2725.89
"11694","Belle Harbor-Neponsit/Rockaway Park","Queens",3640.24
"11697","Breezy Point","Queens",3138.53
