"","MODIFIED_ZCTA","NEIGHBORHOOD_NAME","BOROUGH_GROUP","COVID_CASE_COUNT","COVID_CASE_RATE","POP_DENOMINATOR","COVID_DEATH_COUNT","COVID_DEATH_RATE","PERCENT_POSITIVE","TOTAL_COVID_TESTS"
"105","11217","Boerum Hill/Park Slope","Brooklyn",614,1293.27,47476.67,76,160.08,22.99,NA
"106","11218","Kensington/Windsor Terrace","Brooklyn",1683,2220.13,75806.47,131,172.81,26.72,NA
"107","11219","Borough Park","Brooklyn",3011,3242.58,92858.07,208,224,22.97,NA
"108","11220","Sunset Park","Brooklyn",1511,1534.79,98450,153,155.41,29.2,NA
"109","11221","Bedford-Stuyvesant (East)/Bushwick","Brooklyn",1269,1553.77,81672.44,126,154.27,25.87,NA
"110","11222","Greenpoint","Brooklyn",437,1202.23,36349.16,29,79.78,16.28,NA
"111","11223","Gravesend/Homecrest","Brooklyn",1679,2099.88,79957.11,135,168.84,28.28,NA
"112","11224","Brighton Beach/Coney Island/Seagate","Brooklyn",1142,2567.02,44487.34,197,442.82,29.28,NA
"113","11225","Crown Heights (West)/Prospect Lefferts Gardens","Brooklyn",1133,1963.21,57711.49,126,218.33,28.85,NA
"114","11226","Flatbush/Prospect Lefferts Gardens","Brooklyn",2225,2246.08,99061.32,257,259.44,30.14,NA
"115","11228","Bath Beach/Dyker Heights","Brooklyn",653,1476.87,44215.08,76,171.89,25.6,NA
"116","11229","Gerritsen Beach/Homecrest/Sheepshead Bay","Brooklyn",1749,2059.85,84909.16,133,156.64,16.82,NA
"117","11230","Midwood","Brooklyn",2315,2596.29,89165.77,203,227.67,26.39,NA
"118","11231","Carroll Gardens/Cobble Hill/Red Hook","Brooklyn",420,1135.3,36994.7,33,89.2,19.66,NA
"119","11232","Sunset Park","Brooklyn",519,1835.8,28271.09,40,141.49,30.78,NA
"120","11233","Bedford-Stuyvesant (East)/Ocean Hill-Brownsville","Brooklyn",1238,1715.98,72145.54,125,173.26,28.94,NA
"121","11234","Bergen Beach/Flatlands/Marine Park/Mill Basin","Brooklyn",2221,2330.42,95304.8,178,186.77,30,NA
"122","11235","Brighton Beach/Manhattan Beach/Sheepshead Bay","Brooklyn",2012,2529.54,79540.14,270,339.45,27.69,NA
"123","11236","Canarsie","Brooklyn",2677,2764.15,96846.99,275,283.95,32.75,NA
"124","11237","Bushwick/East Williamsburg","Brooklyn",948,1869.98,50695.72,108,213.04,27.87,NA
"125","11238","Clinton Hill/Prospect Heights","Brooklyn",760,1407,54015.79,95,175.87,22.31,NA
"126","11239","East New York","Brooklyn",511,4116.53,12413.37,77,620.3,31.06,NA
